,chimpanzee,zebrafish,red flour beetle,pig,gray mouse lemur,olive baboon,Mexican tetra,northern pike,Japanese quail,African clawed frog,goat,eastern oyster,helmeted guineafowl,rainbow trout,yellow fever mosquito,Japanese medaka,,sheep,southern platyfish,Ryukyu mouse,shrew mouse
chimpanzee,1.0,0.04429133858267716,0.006731822959765616,0.27588777446462454,0.31417218234361893,0.5420799783476554,0.045321612854429635,0.04426006233340853,0.10594793561633635,0.06171934260429836,0.2681219343656898,0.006779823246019845,0.1071816381714821,0.03873063834780568,0.005977036162678399,0.04271505845402199,0.005753593341967262,0.26738421838924353,0.042747189712592996,0.23030203365674506,0.23128351095518634
zebrafish,0.04429133858267716,1.0,0.006325174193289291,0.04477130836047774,0.04469079170914033,0.0445214699151972,0.11817192419849294,0.08788900602773239,0.0494470643390971,0.04192904198260098,0.044990632298466095,0.006618509691652709,0.0498515393030161,0.08014455328623969,0.005620586243590984,0.07800852633940815,0.005460920883711127,0.04502185236185116,0.0796221322537112,0.044136084127214266,0.044046935399542304
red flour beetle,0.006731822959765616,0.006325174193289291,1.0,0.006819221967963387,0.00686832087327432,0.006902326423463384,0.006377099128463119,0.006400064403163806,0.0072298374242907235,0.006206168313675486,0.007097618303287135,0.006260807346013953,0.007379838637725123,0.005429302722407508,0.022781007896028195,0.006643527883653089,0.02271794571143812,0.0070597766332966844,0.006580246785242783,0.006970410377140747,0.006879880996653031
pig,0.27588777446462454,0.04477130836047774,0.006819221967963387,1.0,0.27870726384703315,0.2772610556348074,0.04557262736921262,0.04479362300612715,0.10750608484005564,0.062311971269638555,0.32776844928184,0.006793566379142617,0.10888784975586416,0.0389143571577412,0.006187534969446303,0.04312465039466558,0.005814962680090262,0.32594879463585824,0.0432131564506154,0.22411571276217562,0.22411269871415326
gray mouse lemur,0.31417218234361893,0.04469079170914033,0.00686832087327432,0.27870726384703315,1.0,0.313957453814222,0.04554635081473367,0.044748555331443986,0.10768644529123571,0.06251126851255634,0.2725006088297712,0.006836468744671695,0.10911943860260867,0.03906867202289564,0.0059899983513766,0.043232714918443944,0.005804789494852869,0.2717856025583093,0.04336483173223743,0.23513692554708465,0.23526621873412004
olive baboon,0.5420799783476554,0.0445214699151972,0.006902326423463384,0.2772610556348074,0.313957453814222,1.0,0.04558015733080158,0.04453434471133586,0.1064689882059497,0.062230044553276874,0.2693166081054788,0.0069014333746239605,0.10783533108093568,0.03889069519981083,0.006011871819079554,0.04292329090300886,0.005861136158701533,0.26857018707405206,0.04296979590426588,0.2322936756001862,0.23303742695275906
Mexican tetra,0.045321612854429635,0.11817192419849294,0.006377099128463119,0.04557262736921262,0.04554635081473367,0.04558015733080158,1.0,0.09270629182964812,0.0509280720947913,0.04247978436657682,0.0458545583051052,0.006486518580090693,0.05101444976874809,0.08548716326941322,0.005704256252742431,0.08020077427139721,0.005464850199380135,0.04575963054547961,0.0825425379169211,0.0450537930086275,0.04504979142015667
northern pike,0.04426006233340853,0.08788900602773239,0.006400064403163806,0.04479362300612715,0.044748555331443986,0.04453434471133586,0.09270629182964812,1.0,0.04936452385338,0.04201635587439547,0.04500458530815842,0.006614489797426631,0.04982776723709175,0.18381704184332373,0.0056326831349129405,0.09055539180597078,0.005511175973577079,0.045035859031591935,0.09387477276311748,0.04427334797432983,0.04416677401348276
Japanese quail,0.10594793561633635,0.0494470643390971,0.0072298374242907235,0.10750608484005564,0.10768644529123571,0.1064689882059497,0.0509280720947913,0.04936452385338,1.0,0.07104451464407854,0.10782979097136834,0.007081905294817095,0.4598702909816115,0.042765548023410864,0.006436932661653403,0.04828812461950272,0.006009037592539179,0.10735089239680119,0.04867495431693161,0.10214796096200766,0.10254779863181898
African clawed frog,0.06171934260429836,0.04192904198260098,0.006206168313675486,0.062311971269638555,0.06251126851255634,0.062230044553276874,0.04247978436657682,0.04201635587439547,0.07104451464407854,1.0,0.06297884851524532,0.0064184381555976115,0.07175414557758451,0.037196120675007986,0.005598071881931575,0.04019864171157096,0.005277270652670014,0.06275767292716446,0.0405238080310962,0.060486855923012034,0.06059819520509426
goat,0.2681219343656898,0.044990632298466095,0.007097618303287135,0.32776844928184,0.2725006088297712,0.2693166081054788,0.0458545583051052,0.04500458530815842,0.10782979097136834,0.06297884851524532,1.0,0.006989919799867559,0.10904337127037834,0.03931214986913449,0.006257280745548344,0.0433676440287744,0.005934945971148044,0.7713547002292794,0.04337893525230426,0.22128130837985077,0.22216968386922453
eastern oyster,0.006779823246019845,0.006618509691652709,0.006260807346013953,0.006793566379142617,0.006836468744671695,0.0069014333746239605,0.006486518580090693,0.006614489797426631,0.007081905294817095,0.0064184381555976115,0.006989919799867559,1.0,0.007140796937410958,0.0058762371025479045,0.00545950864422202,0.006551546272701377,0.005550969284636625,0.006938542007191893,0.006514682626756354,0.006777090010520392,0.006778299605760325
helmeted guineafowl,0.1071816381714821,0.0498515393030161,0.007379838637725123,0.10888784975586416,0.10911943860260867,0.10783533108093568,0.05101444976874809,0.04982776723709175,0.4598702909816115,0.07175414557758451,0.10904337127037834,0.007140796937410958,1.0,0.043116870673341794,0.006555901527683176,0.04860185131505208,0.006114628257030621,0.10863622890891726,0.04898229669601439,0.10338438062019728,0.10365933921284717
rainbow trout,0.03873063834780568,0.08014455328623969,0.005429302722407508,0.0389143571577412,0.03906867202289564,0.03889069519981083,0.08548716326941322,0.18381704184332373,0.042765548023410864,0.037196120675007986,0.03931214986913449,0.0058762371025479045,0.043116870673341794,1.0,0.004874709938064473,0.08194840285746012,0.004676455495042129,0.03930962609745309,0.0855987303537603,0.038461538461538464,0.0384834963417016
yellow fever mosquito,0.005977036162678399,0.005620586243590984,0.022781007896028195,0.006187534969446303,0.0059899983513766,0.006011871819079554,0.005704256252742431,0.0056326831349129405,0.006436932661653403,0.005598071881931575,0.006257280745548344,0.00545950864422202,0.006555901527683176,0.004874709938064473,1.0,0.0059269116593305355,0.01902253032928943,0.006199057388411422,0.005892356942777111,0.006071262689934311,0.0060120909829768756
Japanese medaka,0.04271505845402199,0.07800852633940815,0.006643527883653089,0.04312465039466558,0.043232714918443944,0.04292329090300886,0.08020077427139721,0.09055539180597078,0.04828812461950272,0.04019864171157096,0.0433676440287744,0.006551546272701377,0.04860185131505208,0.08194840285746012,0.0059269116593305355,1.0,0.005561352148059605,0.04341946173480812,0.1470003359696356,0.04244091043030244,0.04256331528813955
,0.005753593341967262,0.005460920883711127,0.02271794571143812,0.005814962680090262,0.005804789494852869,0.005861136158701533,0.005464850199380135,0.005511175973577079,0.006009037592539179,0.005277270652670014,0.005934945971148044,0.005550969284636625,0.006114628257030621,0.004676455495042129,0.01902253032928943,0.005561352148059605,1.0,0.005888545299032831,0.005754469370573961,0.00587302455296112,0.005835333494814261
sheep,0.26738421838924353,0.04502185236185116,0.0070597766332966844,0.32594879463585824,0.2717856025583093,0.26857018707405206,0.04575963054547961,0.045035859031591935,0.10735089239680119,0.06275767292716446,0.7713547002292794,0.006938542007191893,0.10863622890891726,0.03930962609745309,0.006199057388411422,0.04341946173480812,0.005888545299032831,1.0,0.043438921976844284,0.22043046801662866,0.22140864714086472
southern platyfish,0.042747189712592996,0.0796221322537112,0.006580246785242783,0.0432131564506154,0.04336483173223743,0.04296979590426588,0.0825425379169211,0.09387477276311748,0.04867495431693161,0.0405238080310962,0.04337893525230426,0.006514682626756354,0.04898229669601439,0.0855987303537603,0.005892356942777111,0.1470003359696356,0.005754469370573961,0.043438921976844284,1.0,0.04250641581487418,0.04259009782426852
Ryukyu mouse,0.23030203365674506,0.044136084127214266,0.006970410377140747,0.22411571276217562,0.23513692554708465,0.2322936756001862,0.0450537930086275,0.04427334797432983,0.10214796096200766,0.060486855923012034,0.22128130837985077,0.006777090010520392,0.10338438062019728,0.038461538461538464,0.006071262689934311,0.04244091043030244,0.00587302455296112,0.22043046801662866,0.04250641581487418,1.0,0.5768015994900176
